iter,J
0,0.403724092
iter,J
0,0.403724092
iter,J
0,0.403724092
iter,J
0,0.403724092
iter,J
0,0.403724092
1,0.403585954
2,0.403984204
3,0.429830833
4,0.475440405
5,0.504885851
6,0.386975271
7,0.424563643
8,0.450652435
9,0.515121412
10,0.576694184
11,0.523205339
12,0.590621972
13,0.537017135
14,0.603157992
15,0.553897953
16,0.595800849
17,0.567083931
18,0.618369009
19,0.627855731
20,0.63328292
21,0.631886725
22,0.627546206
23,0.63214648
24,0.56655349
25,0.615731007
26,0.619301717
27,0.619381264
28,0.661624501
29,0.671695156
30,0.687172544
31,0.690077521
32,0.669085188
33,0.669097437
34,0.669117559
35,0.669302811
36,0.669815044
37,0.670331942
38,0.670850897
39,0.670999438
40,0.671473721
41,0.671953999
42,0.672445447
43,0.672904266
44,0.673360432
45,0.673806337
46,0.674244305
47,0.674683127
48,0.675098849
49,0.675523454
50,0.675915149
51,0.676323258
52,0.676702783
53,0.677100048
54,0.677454517
55,0.677827157
56,0.678194205
57,0.678528898
58,0.678888116
59,0.679189399
60,0.679547509
61,0.679869118
62,0.68015573
63,0.680487608
64,0.680764273
65,0.681071388
66,0.681341222
67,0.681646044
68,0.692483728
69,0.702317625
70,0.702436306
71,0.701483435
72,0.689342588
73,0.687821803
74,0.687428955
75,0.688012923
76,0.688006972
77,0.688745919
78,0.701561694
79,0.67444286
80,0.708075196
81,0.709633801
82,0.685417687
83,0.695948523
84,0.696943813
85,0.696915225
86,0.710768802
87,0.680828864
88,0.668962849
89,0.650211662
90,0.631831401
91,0.622616804
92,0.612356155
93,0.612362608
94,0.613645908
95,0.666805869
96,0.680365299
97,0.709212984
98,0.714908874
99,0.701422687
100,0.701832502
101,0.703089624
102,0.704973599
103,0.67634553
104,0.698102392
105,0.699636327
106,0.70036507
107,0.700572582
108,0.700701472
109,0.712307833
110,0.712525787
111,0.71286461
112,0.712040788
113,0.71603886
114,0.730148288
115,0.731818169
116,0.719735488
117,0.719575227
118,0.720436585
119,0.722534784
120,0.722877041
121,0.725351897
122,0.73203793
123,0.719811766
124,0.721636805
125,0.724855279
126,0.725870802
127,0.726079822
128,0.721444467
129,0.727377108
130,0.728755234
131,0.739592355
132,0.742049779
133,0.736703972
134,0.734480133
135,0.7258733
136,0.718906512
137,0.718091393
138,0.715540105
139,0.723106608
140,0.728712816
141,0.73153949
142,0.731561696
143,0.733684338
144,0.74714717
145,0.747628629
146,0.733580976
147,0.736390259
148,0.74415612
149,0.753484779
150,0.751066881
151,0.751159087
152,0.763167972
153,0.753496791
154,0.7552802
155,0.754255341
156,0.741282817
157,0.746110944
158,0.75076135
159,0.750936948
160,0.751122886
161,0.736965955
162,0.744802991
163,0.745111613
164,0.745206089
165,0.745358719
166,0.750771219
167,0.750779788
168,0.750781429
169,0.750967322
170,0.751207904
171,0.75147072
172,0.751881992
173,0.752315565
174,0.752775905
175,0.75319173
176,0.753598877
177,0.753956495
178,0.75434362
179,0.754686146
180,0.75504941
181,0.755394858
182,0.755703884
183,0.756039491
184,0.756339819
185,0.756639564
186,0.756931146
187,0.757184854
188,0.757476288
189,0.757725673
190,0.7579865
191,0.758205035
192,0.758453795
193,0.758657625
194,0.758884574
195,0.759195145
196,0.737374776
197,0.749747537
198,0.75516721
199,0.755327034
200,0.755463194
201,0.755565588
202,0.76057961
203,0.746653493
204,0.752765077
205,0.753004382
206,0.75303151
207,0.753085952
208,0.753252854
209,0.764861701
210,0.764200414
211,0.753482559
212,0.758382239
213,0.75856103
214,0.758701571
215,0.758693074
216,0.765858255
217,0.755270589
218,0.760407889
219,0.760518631
220,0.767534016
221,0.768933196
222,0.769039255
223,0.768992439
224,0.760928355
225,0.764479493
226,0.764616235
227,0.7645916
228,0.767836918
229,0.767879959
230,0.767936743
231,0.767916502
232,0.77182755
233,0.765024115
234,0.766090815
235,0.768546031
236,0.768540745
237,0.768563407
238,0.768575115
239,0.772461225
240,0.770738941
241,0.762209131
242,0.769675173
243,0.769607478
244,0.769591471
245,0.773502909
246,0.775951804
